loc_rowid,pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,sy_dist,sy_disterr1,sy_disterr2
3360,Kepler-20 c,Kepler-20,2,6,2011,10.85407740,0.00000210,-0.00000210,0,0.093600,0.001800,-0.001800,0,2.894,0.036,-0.033,0,11.10000,2.10000,-2.10000,0,282.5630000,1.7760000,-1.7530000
3361,Kepler-20 d,Kepler-20,2,6,2011,77.61145500,0.00009600,-0.00009600,0,0.347400,0.006700,-0.006700,0,2.606,0.053,-0.039,0,13.40000,3.70000,-3.60000,0,282.5630000,1.7760000,-1.7530000
3362,Kepler-20 e,Kepler-20,2,6,2011,6.09848820,0.00000990,-0.00000990,0,0.063700,0.001200,-0.001200,0,0.821,0.022,-0.022,0,0.76000,,,1,282.5630000,1.7760000,-1.7530000
3363,Kepler-20 f,Kepler-20,2,6,2011,19.57832800,0.00004800,-0.00004800,0,0.138700,0.002700,-0.002700,0,0.952,0.047,-0.087,0,1.40000,,,1,282.5630000,1.7760000,-1.7530000
3364,Kepler-20 g,Kepler-20,2,6,2016,34.94000000,0.03800000,-0.03500000,0,0.205500,0.002200,-0.002100,0,4.710,,,0,19.96000,3.08000,-3.61000,0,282.5630000,1.7760000,-1.7530000
3365,Kepler-200 b,Kepler-200,1,2,2014,8.59480500,0.00003600,-0.00003600,0,0.080000,,,0,2.130,0.410,-0.410,0,5.18000,,,0,665.9120000,7.1445000,-7.1445000
3366,Kepler-200 c,Kepler-200,1,2,2014,10.22215700,0.00005300,-0.00005300,0,0.090000,,,0,1.590,0.290,-0.290,0,3.15000,,,0,665.9120000,7.1445000,-7.1445000
3367,Kepler-2000 b,Kepler-2000,1,2,2023,6.38315913,0.00000640,-0.00000640,0,0.056200,,,0,2.730,0.100,-0.170,0,7.90000,,,0,320.5880000,3.6510000,-3.6510000
3368,Kepler-2000 c,Kepler-2000,1,2,2023,20.61803480,0.00013820,-0.00013820,0,0.122800,,,0,1.570,0.060,-0.100,0,3.09000,,,0,320.5880000,3.6510000,-3.6510000
3369,Kepler-2001 b,Kepler-2001,1,2,2023,1.09001100,0.00000582,-0.00000582,0,0.019700,,,0,1.040,0.130,-0.080,0,1.12000,,,0,776.5500000,20.1360000,-19.1600000
3370,Kepler-2001 c,Kepler-2001,1,2,2023,14.09258319,,,0,0.108400,,,0,1.820,0.230,-0.130,0,3.97000,,,0,776.5500000,20.1360000,-19.1600000
3371,Kepler-201 b,Kepler-201,1,2,2014,25.67208300,0.00007500,-0.00007500,0,0.175000,,,0,2.460,0.480,-0.480,0,6.62000,,,0,636.4450000,9.7730000,-9.4880000
3372,Kepler-201 c,Kepler-201,1,2,2014,151.88405800,0.00201400,-0.00201400,0,0.573000,,,0,2.850,0.600,-0.600,0,8.50000,,,0,636.4450000,9.7730000,-9.4880000
3373,Kepler-202 b,Kepler-202,1,2,2014,4.06942700,0.00000700,-0.00000700,0,0.045000,,,0,1.630,0.100,-0.100,0,3.29000,,,0,285.1110000,1.1135000,-1.1135000
3374,Kepler-202 c,Kepler-202,1,2,2014,16.28249300,0.00003800,-0.00003800,0,0.113000,,,0,1.850,0.100,-0.100,0,4.08000,,,0,285.1110000,1.1135000,-1.1135000
3375,Kepler-203 b,Kepler-203,1,3,2014,3.16269700,0.00000400,-0.00000400,0,0.043000,,,0,2.570,0.520,-0.520,0,7.13000,,,0,703.3020000,9.5100000,-9.5100000
3376,Kepler-203 c,Kepler-203,1,3,2014,5.37064700,0.00000800,-0.00000800,0,0.061000,,,0,2.470,0.470,-0.470,0,749.90000,419.10000,-344.70000,0,703.3020000,9.5100000,-9.5100000
3377,Kepler-203 d,Kepler-203,1,3,2014,11.32972000,0.00008000,-0.00008000,0,0.100000,,,0,1.440,0.280,-0.280,0,33.90000,183.40000,-33.20000,0,703.3020000,9.5100000,-9.5100000
